210,ARI,RB,Darrel,Williams,0.8,62,210,40.61,199.5,-10.5,-78.84,64.09,142.93,-110,100,8,-38.23,-119.45
211,IND,K,Rodrigo,Blankenship,0,14,211,15.77,201,-10,-9.85,135.78,145.63,-107,104,14,5.92,-25.62
212,SEA,TE,Noah,Fant,0.89,24,212,11.22,202,-10,-9.82,115.13,124.95,-118,94,6,1.4,-21.04
213,PIT,K,Chris,Boswell,0,15,213,5.38,168,-45,-12.29,133.34,145.63,-109,104,13,-6.91,-17.68
215,DET,QB,Jared,Goff,0.45,27,215,18.81,172,-43,-60.41,280.03,340.44,-116,99,11,-41.6,-79.22
216,TB,K,Ryan,Succop,0,16,216,4.96,205,-11,-6.6,139.03,145.63,-112,104,14,-1.64,-11.56
217,NO,K,Wil,Lutz,0,17,217,10.22,207.5,-9.5,-17.17,128.46,145.63,-113,104,6,-6.95,-27.4
218,CLE,DST,Cle,Browns,0,15,218,7.42,208,-10,-9.19,104.75,113.93,-121,97,10,-1.77,-16.6
219,PIT,DST,Pit,Steelers,0,16,219,10.06,208,-11,-0.41,113.52,113.93,-122,97,13,9.65,-10.48
220,LAC,TE,Gerald,Everett,0.45,26,220,17.39,210.5,-9.5,-15.36,109.6,124.95,-126,94,11,2.04,-32.75
221,NYG,WR,Wandale,Robinson,0,73,221,25.78,190,-31,-67.98,84.42,152.4,-123,98,8,-42.2,-93.76
222,MIN,WR,Kj,Osborn,0,74,222,26.67,193,-29,-44.98,107.43,152.4,-124,98,8,-18.3,-71.65
223,TEN,TE,Austin,Hooper,0.22,27,223,15.1,216,-7,-26,98.96,124.95,-129,94,9,-10.89,-41.1
224,CAR,RB,Chuba,Hubbard,0.49,63,224,18.17,195,-29,-94.09,48.84,142.93,-124,100,9,-75.92,-112.26
